N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
60,금호석유,"194,500",0,0.00%,"5,000","59,260","30,468",20.41,"106,289",4.61,20.18,
61,현대건설,"53,200",0,0.00%,"5,000","59,241","111,356",21.58,"341,704",48.01,1.84,
62,미래에셋증권,"8,800",60,-0.68%,"5,000","55,908","635,316",13.87,"1,076,553",6.68,8.94,
63,한국타이어앤테크놀로지,"45,100",200,+0.45%,500,"55,868","123,875",41.81,"132,080",9.05,5.12,
64,코웨이,"75,500",500,-0.66%,500,"55,719","73,800",59.89,"137,491",13.08,31.51,
65,F&F,"713,000","18,000",-2.46%,500,"54,626","7,661",12.10,"22,341",N/A,N/A,
66,LG이노텍,"220,500","3,500",+1.61%,"5,000","52,186","23,667",27.99,"211,799",9.55,10.20,
67,삼성엔지니어링,"26,100",50,+0.19%,"5,000","51,156","196,000",34.15,"2,697,706",16.20,17.32,
68,맥쿼리인프라,"12,600",0,0.00%,0,"51,011","404,846",14.51,"785,880",N/A,N/A,
69,현대중공업지주,"64,500",400,+0.62%,"1,000","50,951","78,993",17.47,"107,859",-14.90,-8.12,
70,KODEX 200,"41,090",125,+0.31%,0,"50,089","121,900",3.56,"2,795,345",N/A,N/A,
71,에스디바이오센서,"48,300","1,050",-2.13%,500,"49,880","103,271",2.86,"537,567",7.32,139.97,
72,한국금융지주,"87,100",100,-0.11%,"5,000","48,537","55,726",35.04,"119,322",4.14,16.27,
73,오리온,"122,500",500,+0.41%,500,"48,432","39,536",39.54,"45,786",20.09,15.50,
74,이마트,"172,000","1,000",-0.58%,"5,000","47,946","27,876",35.24,"94,226",8.49,4.05,
75,일진머티리얼즈,"97,400","10,700",+12.34%,500,"44,912","46,111",10.51,"2,854,716",94.38,7.23,
76,한미사이언스,"66,400","1,800",-2.64%,500,"44,690","67,305",1.46,"124,778",146.26,3.47,
77,DB손해보험,"62,600",100,-0.16%,500,"44,321","70,800",42.94,"76,025",6.42,9.08,
78,유한양행,"63,000",100,+0.16%,"1,000","44,083","69,973",18.02,"142,232",45.82,11.06,
79,메리츠금융지주,"32,700","1,200",-3.54%,500,"43,822","134,011",8.30,"194,114",7.08,16.06,
80,삼성증권,"48,300",200,-0.41%,"5,000","43,132","89,300",30.11,"174,542",4.72,9.89,
81,한솔케미칼,"377,000","5,500",+1.48%,"5,000","42,734","11,335",41.97,"120,242",30.02,24.50,
82,한진칼,"63,200",200,+0.32%,"2,500","42,179","66,739",14.89,"53,654",-43.14,-19.55,
83,쌍용C&E,"8,300",50,+0.61%,100,"41,820","503,860",3.66,"541,639",26.77,7.92,
84,아모레G,"50,600",200,-0.39%,500,"41,724","82,458",16.82,"81,778",32.23,0.31,
85,GS,"44,750","1,050",+2.40%,"5,000","41,580","92,915",19.20,"335,209",5.09,-2.82,
86,팬오션,"7,750",410,+5.59%,"1,000","41,429","534,570",12.07,"15,389,592",23.77,3.25,
87,녹십자,"354,000","9,500",+2.76%,"5,000","41,370","11,687",21.63,"76,750",44.26,7.48,
88,두산밥캣,"40,700",250,+0.62%,500,"40,801","100,249",25.63,"59,037",10.71,6.15,
89,삼성카드,"33,900",50,+0.15%,"5,000","39,276","115,859",8.14,"86,118",8.57,5.69,
90,KCC,"435,500","19,500",-4.29%,"5,000","38,701","8,886",13.64,"65,893",4.53,12.79,
91,삼성중공업,"6,130",10,-0.16%,"1,000","38,619","630,000",14.01,"1,651,188",-2.69,-33.06,
92,한국가스공사,"41,750","1,350",+3.34%,"5,000","38,541","92,313",7.44,"1,039,241",15.29,-2.24,
93,GS건설,"44,200",200,-0.45%,"5,000","37,827","85,581",26.45,"394,664",11.66,7.68,
94,CJ대한통운,"163,000","3,500",-2.10%,"5,000","37,184","22,812",23.03,"37,883",106.82,3.89,
95,NH투자증권,"13,050",100,-0.76%,"5,000","36,724","281,409",18.72,"268,129",4.65,10.32,
96,롯데지주,"34,500",100,-0.29%,200,"36,194","104,909",8.24,"87,566",49.29,-3.03,
97,효성첨단소재,"801,000","59,000",-6.86%,"5,000","35,884","4,480",14.43,"190,924",24.41,0.03,
98,현대차2우B,"97,700",500,-0.51%,"5,000","35,646","36,485",60.90,"45,055",7.08,N/A,
99,메리츠화재,"29,350",250,-0.84%,500,"35,403","120,625",10.89,"165,761",6.70,16.91,
100,한화시스템,"18,650",150,+0.81%,"5,000","35,233","188,919",3.20,"729,861",20.23,9.35,
101,GS리테일,"33,550",50,-0.15%,"1,000","35,133","104,718",10.06,"164,478",18.41,7.50,
102,메리츠증권,"5,130",10,+0.20%,"1,000","34,973","681,731",14.43,"745,942",5.47,13.08,
103,OCI,"146,500","8,000",+5.78%,"5,000","34,939","23,849",19.76,"476,714",120.68,-9.89,
104,한미약품,"287,500","7,500",-2.54%,"2,500","34,725","12,078",13.03,"40,856",150.37,1.65,
105,호텔신라,"88,400",500,-0.56%,"5,000","34,695","39,248",17.40,"167,629",-26.89,-36.74,
106,두산퓨얼셀,"52,100","3,050",+6.22%,100,"34,122","65,494",13.10,"1,591,109",868.33,4.18,
